pose_file,video_name,left_rom,right_rom,left_motion_energy,right_motion_energy,feedback
vid10_pose.npy,vid10.mp4,0.1460733711719513,0.2922239899635315,0.0025980074424296618,0.005121198017150164,Moderate arm motion – movement looks relatively controlled.
vid11_pose.npy,vid11.mp4,0.3932585120201111,0.3994107246398926,0.007249480579048395,0.007249561604112387,Moderate arm motion – movement looks relatively controlled.
vid12_pose.npy,vid12.mp4,0.032698094844818115,0.011916816234588623,0.00041892999433912337,0.00014989334158599377,Very little arm motion detected – this may not be an arm-focused exercise.
vid13_pose.npy,vid13.mp4,0.1651395559310913,0.19633740186691284,0.0037036642897874117,0.003121766960248351,Moderate arm motion – movement looks relatively controlled.
vid14_pose.npy,vid14.mp4,0.020446598529815674,0.007254898548126221,0.0004150958266109228,9.730015153763816e-05,Very little arm motion detected – this may not be an arm-focused exercise.
vid15_pose.npy,vid15.mp4,0.11924552917480469,0.12114351987838745,0.015103521756827831,0.014480137266218662,Arms are moving strongly and consistently throughout the clip.
vid16_pose.npy,vid16.mp4,0.30751678347587585,0.2946600914001465,0.022252187132835388,0.021680790930986404,Arms are moving strongly and consistently throughout the clip.
vid17_pose.npy,vid17.mp4,0.2719314694404602,0.2393186092376709,0.01158498227596283,0.016228677704930305,Arms are moving strongly and consistently throughout the clip.
vid18_pose.npy,vid18.mp4,0.2594406008720398,0.365381121635437,0.011796804144978523,0.01683645509183407,Arms are moving strongly and consistently throughout the clip.
vid19_pose.npy,vid19.mp4,0.3835102915763855,0.2929189205169678,0.017219357192516327,0.015196837484836578,Arms are moving strongly and consistently throughout the clip.
vid1_pose.npy,vid1.mp4,0.28047508001327515,0.015854597091674805,0.0025294781662523746,0.00026596945826895535,Moderate arm motion – movement looks relatively controlled.
vid20_pose.npy,vid20.mp4,0.16011568903923035,0.21720346808433533,0.011381778866052628,0.012685716152191162,Arms are moving strongly and consistently throughout the clip.
vid21_pose.npy,vid21.mp4,0.27387186884880066,0.2334997057914734,0.013088604435324669,0.013656174764037132,Arms are moving strongly and consistently throughout the clip.
vid22_pose.npy,vid22.mp4,0.4700337052345276,0.44867420196533203,0.015327739529311657,0.013688050210475922,Arms are moving strongly and consistently throughout the clip.
vid23_pose.npy,vid23.mp4,0.20872753858566284,0.21165913343429565,0.01639813929796219,0.019260941073298454,Arms are moving strongly and consistently throughout the clip.
vid24_pose.npy,vid24.mp4,0.4117068648338318,0.3645772933959961,0.01577085629105568,0.016249090433120728,Arms are moving strongly and consistently throughout the clip.
vid25_pose.npy,vid25.mp4,0.41484180092811584,0.39832425117492676,0.019990190863609314,0.020309770479798317,Arms are moving strongly and consistently throughout the clip.
vid26_pose.npy,vid26.mp4,0.10315349698066711,0.19038963317871094,0.00761589128524065,0.015103881247341633,Arms are moving strongly and consistently throughout the clip.
vid27_pose.npy,vid27.mp4,0.25350168347358704,0.2137916386127472,0.025315608829259872,0.03392593935132027,Arms are moving strongly and consistently throughout the clip.
vid28_pose.npy,vid28.mp4,0.2422221302986145,0.19919642806053162,0.02467402070760727,0.03424200415611267,Arms are moving strongly and consistently throughout the clip.
vid29_pose.npy,vid29.mp4,0.20313408970832825,0.2588837742805481,0.019458258524537086,0.02064463309943676,Arms are moving strongly and consistently throughout the clip.
vid2_pose.npy,vid2.mp4,0.7192308306694031,0.7049262523651123,0.008291196078062057,0.00787146296352148,Moderate arm motion – movement looks relatively controlled.
vid30_pose.npy,vid30.mp4,0.6410906910896301,0.6391829252243042,0.02767306938767433,0.027687622234225273,Arms are moving strongly and consistently throughout the clip.
